rank,accuracy,error,rep,fold,condition,K,reconstruction
0.783844444444445,0.03,0.28898888888888863,0,0,intact,5,all_archetypes
0.782466666666667,0.05,0.26286666666666664,0,1,intact,5,all_archetypes
0.7978555555555555,0.04,0.29577777777777775,1,0,intact,5,all_archetypes
0.8043111111111119,0.04666666666666667,0.3014777777777777,1,1,intact,5,all_archetypes
0.7924333333333339,0.02666666666666667,0.315722222222222,2,0,intact,5,all_archetypes
0.7945333333333334,0.02666666666666667,0.3043777777777777,2,1,intact,5,all_archetypes
0.8235222222222225,0.05333333333333334,0.285211111111111,3,0,intact,5,all_archetypes
0.8220444444444451,0.03333333333333333,0.28813333333333335,3,1,intact,5,all_archetypes
0.8176333333333337,0.03333333333333333,0.26826666666666643,4,0,intact,5,all_archetypes
0.8150222222222226,0.03,0.2852666666666665,4,1,intact,5,all_archetypes
0.7727555555555564,0.043333333333333335,0.2935333333333331,5,0,intact,5,all_archetypes
0.7748333333333333,0.03,0.29415555555555534,5,1,intact,5,all_archetypes
0.7791222222222229,0.043333333333333335,0.2929888888888888,6,0,intact,5,all_archetypes
0.7851555555555559,0.03666666666666667,0.2788333333333331,6,1,intact,5,all_archetypes
0.8128555555555561,0.04,0.26604444444444425,7,0,intact,5,all_archetypes
0.814355555555556,0.04,0.29128888888888854,7,1,intact,5,all_archetypes
0.8073111111111111,0.05333333333333334,0.27435555555555535,8,0,intact,5,all_archetypes
0.8018444444444446,0.02666666666666667,0.2788111111111109,8,1,intact,5,all_archetypes
0.8039444444444448,0.05333333333333334,0.29765555555555534,9,0,intact,5,all_archetypes
0.8081000000000007,0.02666666666666667,0.2944777777777775,9,1,intact,5,all_archetypes
0.7899666666666673,0.03333333333333333,0.3047666666666666,10,0,intact,5,all_archetypes
0.7933111111111113,0.043333333333333335,0.3050222222222219,10,1,intact,5,all_archetypes
0.8013111111111113,0.043333333333333335,0.2642777777777773,11,0,intact,5,all_archetypes
0.8048444444444453,0.04,0.2887999999999996,11,1,intact,5,all_archetypes
0.7975777777777777,0.04,0.283222222222222,12,0,intact,5,all_archetypes
0.7997555555555557,0.03333333333333333,0.3154777777777777,12,1,intact,5,all_archetypes
0.7988888888888891,0.04666666666666667,0.2899333333333333,13,0,intact,5,all_archetypes
0.7930666666666676,0.03,0.2695555555555553,13,1,intact,5,all_archetypes
0.8103888888888892,0.04,0.27995555555555546,14,0,intact,5,all_archetypes
0.8064333333333332,0.03,0.2748222222222222,14,1,intact,5,all_archetypes
0.7831222222222225,0.04,0.28468888888888877,15,0,intact,5,all_archetypes
0.779711111111111,0.05,0.2933333333333332,15,1,intact,5,all_archetypes
0.7833333333333337,0.02666666666666667,0.2699666666666666,16,0,intact,5,all_archetypes
0.7895777777777778,0.043333333333333335,0.279222222222222,16,1,intact,5,all_archetypes
0.7888111111111115,0.04,0.2887444444444442,17,0,intact,5,all_archetypes
0.7891444444444443,0.02666666666666667,0.2449111111111112,17,1,intact,5,all_archetypes
0.7952555555555556,0.03666666666666667,0.28936666666666644,18,0,intact,5,all_archetypes
0.7933666666666673,0.043333333333333335,0.26183333333333314,18,1,intact,5,all_archetypes
0.7834666666666674,0.043333333333333335,0.30100000000000005,19,0,intact,5,all_archetypes
0.783522222222222,0.05333333333333334,0.27814444444444414,19,1,intact,5,all_archetypes
0.8547333333333333,0.05333333333333334,0.2645888888888886,0,0,intact,10,all_archetypes
0.8552666666666672,0.06666666666666667,0.2563999999999998,0,1,intact,10,all_archetypes
0.8617666666666676,0.043333333333333335,0.27517777777777747,1,0,intact,10,all_archetypes
0.8679666666666676,0.07333333333333333,0.2632333333333331,1,1,intact,10,all_archetypes
0.8666333333333336,0.05333333333333334,0.25821111111111095,2,0,intact,10,all_archetypes
0.8641888888888892,0.056666666666666664,0.2503666666666668,2,1,intact,10,all_archetypes
0.8768666666666675,0.08,0.23688888888888854,3,0,intact,10,all_archetypes
0.8776000000000003,0.06666666666666667,0.2523555555555554,3,1,intact,10,all_archetypes
0.8907000000000002,0.056666666666666664,0.247133333333333,4,0,intact,10,all_archetypes
0.8851444444444451,0.06,0.24973333333333314,4,1,intact,10,all_archetypes
0.8402333333333334,0.06666666666666667,0.23696666666666644,5,0,intact,10,all_archetypes
0.8353222222222227,0.03666666666666667,0.27584444444444417,5,1,intact,10,all_archetypes
0.8563888888888895,0.04,0.2349111111111109,6,0,intact,10,all_archetypes
0.8603666666666667,0.06,0.2404666666666662,6,1,intact,10,all_archetypes
0.8735444444444453,0.07,0.22343333333333337,7,0,intact,10,all_archetypes
0.8746222222222225,0.07333333333333333,0.23421111111111084,7,1,intact,10,all_archetypes
0.8755000000000003,0.07333333333333333,0.2161222222222219,8,0,intact,10,all_archetypes
0.8718666666666669,0.09666666666666666,0.26216666666666644,8,1,intact,10,all_archetypes
0.8725000000000007,0.06,0.25391111111111087,9,0,intact,10,all_archetypes
0.8768777777777782,0.07666666666666666,0.25712222222222214,9,1,intact,10,all_archetypes
0.8535333333333337,0.03333333333333333,0.29369999999999974,10,0,intact,10,all_archetypes
0.8558444444444449,0.043333333333333335,0.2628222222222218,10,1,intact,10,all_archetypes
0.8744000000000002,0.06666666666666667,0.24474444444444424,11,0,intact,10,all_archetypes
0.8808111111111123,0.08666666666666667,0.24672222222222184,11,1,intact,10,all_archetypes
0.8627888888888892,0.06,0.23762222222222207,12,0,intact,10,all_archetypes
0.8616444444444454,0.06333333333333334,0.25681111111111105,12,1,intact,10,all_archetypes
0.8571777777777783,0.056666666666666664,0.26362222222222187,13,0,intact,10,all_archetypes
0.856888888888889,0.06,0.259511111111111,13,1,intact,10,all_archetypes
0.8768555555555557,0.07,0.23592222222222214,14,0,intact,10,all_archetypes
0.8686444444444451,0.06,0.2559333333333332,14,1,intact,10,all_archetypes
0.8399888888888895,0.07333333333333333,0.2749555555555552,15,0,intact,10,all_archetypes
0.8365333333333339,0.05333333333333334,0.27257777777777736,15,1,intact,10,all_archetypes
0.844633333333334,0.06666666666666667,0.21717777777777775,16,0,intact,10,all_archetypes
0.8515888888888896,0.07,0.268911111111111,16,1,intact,10,all_archetypes
0.8434000000000004,0.06,0.27517777777777735,17,0,intact,10,all_archetypes
0.8445888888888895,0.056666666666666664,0.240633333333333,17,1,intact,10,all_archetypes
0.8561444444444447,0.05333333333333334,0.25566666666666643,18,0,intact,10,all_archetypes
0.8517222222222226,0.06333333333333334,0.24445555555555515,18,1,intact,10,all_archetypes
0.8543666666666665,0.06333333333333334,0.2728222222222218,19,0,intact,10,all_archetypes
0.8529888888888894,0.06666666666666667,0.21776666666666633,19,1,intact,10,all_archetypes
0.6911000000000002,0.016666666666666666,0.33433333333333326,0,0,word,5,all_archetypes
0.6969777777777779,0.016666666666666666,0.33946666666666636,0,1,word,5,all_archetypes
0.6838666666666668,0.013333333333333334,0.3491444444444445,1,0,word,5,all_archetypes
0.6823444444444449,0.02666666666666667,0.3297777777777776,1,1,word,5,all_archetypes
0.6503777777777778,0.02,0.3362888888888889,2,0,word,5,all_archetypes
0.6562777777777778,0.016666666666666666,0.32208888888888904,2,1,word,5,all_archetypes
0.6798333333333334,0.02666666666666667,0.328311111111111,3,0,word,5,all_archetypes
