rank,accuracy,error,rep,fold,top_m,condition,K,reconstruction
0.6985999999999997,0.006666666666666667,0.35941111111111107,0,0,1,intact,5,top_m_within_condition
0.7098000000000003,0.01,0.41854444444444444,0,1,1,intact,5,top_m_within_condition
0.7017111111111112,0.006666666666666667,0.3656666666666666,1,0,1,intact,5,top_m_within_condition
0.6883777777777774,0.006666666666666667,0.31416666666666654,1,1,1,intact,5,top_m_within_condition
0.7171111111111114,0.006666666666666667,0.39565555555555565,2,0,1,intact,5,top_m_within_condition
0.7166444444444443,0.006666666666666667,0.38049999999999984,2,1,1,intact,5,top_m_within_condition
0.7039111111111112,0.0033333333333333335,0.3741444444444444,3,0,1,intact,5,top_m_within_condition
0.7018444444444446,0.006666666666666667,0.39480000000000004,3,1,1,intact,5,top_m_within_condition
0.703633333333333,0.01,0.376988888888889,4,0,1,intact,5,top_m_within_condition
0.7000777777777781,0.006666666666666667,0.3763111111111109,4,1,1,intact,5,top_m_within_condition
0.7037555555555559,0.006666666666666667,0.3551111111111112,5,0,1,intact,5,top_m_within_condition
0.6937666666666661,0.006666666666666667,0.38651111111111097,5,1,1,intact,5,top_m_within_condition
0.6942777777777772,0.013333333333333334,0.34583333333333327,6,0,1,intact,5,top_m_within_condition
0.6981333333333339,0.0,0.39206666666666695,6,1,1,intact,5,top_m_within_condition
0.702,0.006666666666666667,0.39357777777777786,7,0,1,intact,5,top_m_within_condition
0.7011333333333332,0.006666666666666667,0.36916666666666653,7,1,1,intact,5,top_m_within_condition
0.7095333333333335,0.01,0.37724444444444444,8,0,1,intact,5,top_m_within_condition
0.6980333333333337,0.0033333333333333335,0.35651111111111133,8,1,1,intact,5,top_m_within_condition
0.6917,0.016666666666666666,0.3305777777777778,9,0,1,intact,5,top_m_within_condition
0.6913444444444444,0.013333333333333334,0.4007222222222222,9,1,1,intact,5,top_m_within_condition
0.6870999999999998,0.013333333333333334,0.3639444444444444,10,0,1,intact,5,top_m_within_condition
0.7023555555555557,0.01,0.3739222222222222,10,1,1,intact,5,top_m_within_condition
