condition,K,reconstruction,mean,std,count,err
intact,5,all_archetypes,0.03866666666666667,0.008432740427115679,40,0.0013333333333333333
intact,10,all_archetypes,0.06225000000000001,0.012684816057182635,40,0.0020056455220486893
rest,5,all_archetypes,0.00575,0.004400692771155113,40,0.0006958106219744146
rest,10,all_archetypes,0.006333333333333334,0.004050957468334667,40,0.0006405126152203486
word,5,all_archetypes,0.020666666666666667,0.0065459149741654045,40,0.0010350000344082465
word,10,all_archetypes,0.030583333333333334,0.007196370563537519,40,0.0011378460933684014
