condition,K,reconstruction,top_m,mean,std,count,err
intact,5,top_m_within_condition,5,0.03866666666666667,0.008432740427115679,40,0.0013333333333333333
intact,10,top_m_within_condition,5,0.03308333333333333,0.008282322506209602,40,0.0013095501717848203
word,5,top_m_within_condition,4,0.02525,0.007840558588159326,40,0.0012397011633288782
word,10,top_m_within_condition,5,0.028833333333333332,0.0079725311891051,40,0.001260567863715135
rest,5,top_m_within_condition,2,0.007666666666666667,0.0037893237337253676,40,0.0005991446895152781
rest,10,top_m_within_condition,2,0.009083333333333334,0.004335469558917039,40,0.0006854979266251704
