analysis_type,fit_scope,condition,K,archetype,mean_accuracy,sem_accuracy,std_accuracy,count,rank_mean,error_mean
temporal,within,intact,75,24,0.006833333333333333,0.0003949467128397272,0.002497862333940011,40,0.6262052777777779,0.3260530555555555
temporal,within,intact,75,25,0.009666666666666667,0.000683546975149819,0.004323130658383886,40,0.6632197222222221,0.3210863888888888
temporal,within,intact,75,26,0.007333333333333333,0.0006666666666666665,0.004216370213557839,40,0.6608983333333335,0.3263163888888888
temporal,within,intact,75,27,0.0085,0.0006954266558151432,0.004398264355939664,40,0.632848888888889,0.3073572222222222
temporal,within,intact,75,28,0.007833333333333335,0.0005540578101426393,0.003504169270911763,40,0.6209372222222223,0.30738361111111107
temporal,within,intact,75,29,0.01025,0.0006792351572617534,0.0042958603276195976,40,0.6128547222222223,0.3186119444444443
temporal,within,intact,75,30,0.00525,0.0005954181656808868,0.0037657551275822065,40,0.6343594444444447,0.30109083333333336
temporal,within,intact,75,31,0.007666666666666666,0.0005229763603684908,0.0033075929223788923,40,0.5891094444444445,0.32001222222222214
temporal,within,intact,75,32,0.0065833333333333325,0.0005268773245260372,0.0033322647859959456,40,0.6075886111111111,0.32491777777777775
temporal,within,intact,75,33,0.007666666666666666,0.0006666666666666665,0.004216370213557839,40,0.6202130555555556,0.2988874999999999
temporal,within,intact,75,34,0.008,0.0006062354060275328,0.0038341693625679476,40,0.6256577777777779,0.3205988888888888
temporal,within,intact,75,35,0.007250000000000001,0.0004904718932443306,0.003102016621894074,40,0.6177463888888888,0.3036997222222222
temporal,within,intact,75,36,0.006500000000000001,0.0005840959605818987,0.0036941472150854577,40,0.6078405555555557,0.3048338888888888
temporal,within,intact,75,37,0.01,0.0006085806194501846,0.0038490017945975053,40,0.6182227777777779,0.31276916666666654
temporal,within,intact,75,38,0.006749999999999999,0.0005532537786493134,0.003499084129252931,40,0.635727777777778,0.3311263888888889
temporal,within,intact,75,39,0.007666666666666666,0.0005091750772173156,0.0032203059435976533,40,0.6094800000000002,0.32279
temporal,within,intact,75,40,0.0069166666666666664,0.0006130989425780422,0.0038775781791747974,40,0.6131447222222224,0.3138047222222222
temporal,within,intact,75,41,0.0052499999999999995,0.0006072625513464554,0.0038406655999594984,40,0.6042347222222222,0.3125699999999999
temporal,within,intact,75,42,0.007916666666666666,0.000568492533533872,0.0035954624775333737,40,0.5984558333333334,0.3202230555555555
temporal,within,intact,75,43,0.006750000000000001,0.0005268773245260372,0.0033322647859959456,40,0.588033888888889,0.3337730555555555
temporal,within,intact,75,44,0.008166666666666666,0.000674631903431942,0.004266746794119403,40,0.637238611111111,0.31745999999999996
temporal,within,intact,75,45,0.007750000000000002,0.000577196041787598,0.0036505082969650712,40,0.5852230555555555,0.30693499999999996
temporal,within,intact,75,46,0.006166666666666667,0.0004706484585228889,0.0029766422123592316,40,0.5960413888888889,0.3167369444444444
temporal,within,intact,75,47,0.008916666666666666,0.0006792351572617534,0.0042958603276195976,40,0.6047902777777777,0.3349344444444444
temporal,within,intact,75,48,0.009583333333333334,0.0008285116920910796,0.005239968030175848,40,0.6216941666666667,0.3191166666666666
temporal,within,intact,75,49,0.0075000000000000015,0.0005937710859953543,0.0037553380809940535,40,0.6030847222222222,0.3103713888888889
temporal,within,intact,75,50,0.0055,0.0006032910690206793,0.003815547740286388,40,0.5675038888888889,0.32029666666666656
temporal,within,intact,75,51,0.006666666666666668,0.0007060987881136029,0.004465760847047225,40,0.6101738888888889,0.31699999999999995
temporal,within,intact,75,52,0.006,0.0006109168300344762,0.0038637772876778144,40,0.6289777777777775,0.31089722222222227
temporal,within,intact,75,53,0.005583333333333333,0.0005519648921491675,0.003490932495281123,40,0.6257247222222223,0.29358527777777776
temporal,within,intact,75,54,0.005583333333333333,0.0005255237517707583,0.003323704040225084,40,0.5641055555555556,0.3140991666666667
temporal,within,intact,75,55,0.006333333333333334,0.0004591581544807963,0.0029039711487975277,40,0.559791388888889,0.3323705555555555
temporal,within,intact,75,56,0.004916666666666666,0.0006425942346670646,0.004064122785681311,40,0.6035241666666668,0.3279375
temporal,within,intact,75,57,0.007166666666666667,0.0008401431162846338,0.005313531615942286,40,0.6206819444444445,0.30111444444444446
