rank,accuracy,error,rep,fold,top_m,condition,K,reconstruction
0.6452111111111107,0.006666666666666667,0.3640111111111111,0,0,1,intact,5,top_m_within_condition
0.6512444444444441,0.01,0.32565555555555564,0,1,1,intact,5,top_m_within_condition
0.6935888888888886,0.01,0.3308888888888887,1,0,1,intact,5,top_m_within_condition
0.6981777777777777,0.01,0.34424444444444424,1,1,1,intact,5,top_m_within_condition
0.6751555555555556,0.006666666666666667,0.32826666666666654,2,0,1,intact,5,top_m_within_condition
0.6814666666666666,0.0033333333333333335,0.3353999999999999,2,1,1,intact,5,top_m_within_condition
0.6659111111111111,0.006666666666666667,0.35209999999999997,3,0,1,intact,5,top_m_within_condition
0.6759777777777777,0.006666666666666667,0.3047555555555553,3,1,1,intact,5,top_m_within_condition
0.6645777777777785,0.013333333333333334,0.3516222222222224,4,0,1,intact,5,top_m_within_condition
0.6590111111111112,0.006666666666666667,0.3856222222222225,4,1,1,intact,5,top_m_within_condition
0.6411555555555557,0.0033333333333333335,0.31375555555555557,5,0,1,intact,5,top_m_within_condition
0.6529777777777773,0.006666666666666667,0.34341111111111117,5,1,1,intact,5,top_m_within_condition
0.6685888888888889,0.02,0.3129888888888888,6,0,1,intact,5,top_m_within_condition
0.6680666666666669,0.023333333333333334,0.29458888888888923,6,1,1,intact,5,top_m_within_condition
0.6759888888888886,0.006666666666666667,0.27810000000000007,7,0,1,intact,5,top_m_within_condition
0.6717777777777777,0.006666666666666667,0.3547555555555557,7,1,1,intact,5,top_m_within_condition
0.6816222222222228,0.006666666666666667,0.35796666666666643,8,0,1,intact,5,top_m_within_condition
0.6836111111111111,0.006666666666666667,0.2900444444444445,8,1,1,intact,5,top_m_within_condition
0.6814888888888886,0.006666666666666667,0.3727222222222221,9,0,1,intact,5,top_m_within_condition
0.6789666666666665,0.016666666666666666,0.3022888888888888,9,1,1,intact,5,top_m_within_condition
0.6854111111111117,0.013333333333333334,0.30132222222222244,10,0,1,intact,5,top_m_within_condition
0.6879555555555554,0.013333333333333334,0.3274,10,1,1,intact,5,top_m_within_condition
0.6591888888888888,0.0,0.29654444444444444,11,0,1,intact,5,top_m_within_condition
0.665288888888889,0.01,0.33327777777777773,11,1,1,intact,5,top_m_within_condition
0.6912555555555554,0.013333333333333334,0.3089222222222221,12,0,1,intact,5,top_m_within_condition
0.6938333333333332,0.013333333333333334,0.3639444444444444,12,1,1,intact,5,top_m_within_condition
0.6710333333333335,0.0033333333333333335,0.37456666666666666,13,0,1,intact,5,top_m_within_condition
0.6763111111111105,0.0033333333333333335,0.34385555555555564,13,1,1,intact,5,top_m_within_condition
0.6702222222222223,0.01,0.3810888888888888,14,0,1,intact,5,top_m_within_condition
0.672944444444445,0.016666666666666666,0.36288888888888915,14,1,1,intact,5,top_m_within_condition
0.6827555555555553,0.013333333333333334,0.3412333333333332,15,0,1,intact,5,top_m_within_condition
0.6798888888888888,0.01,0.31816666666666676,15,1,1,intact,5,top_m_within_condition
0.6679333333333337,0.013333333333333334,0.36542222222222215,16,0,1,intact,5,top_m_within_condition
0.6558777777777776,0.013333333333333334,0.29862222222222223,16,1,1,intact,5,top_m_within_condition
0.6270555555555555,0.0033333333333333335,0.2847666666666669,17,0,1,intact,5,top_m_within_condition
0.617266666666667,0.0033333333333333335,0.36165555555555573,17,1,1,intact,5,top_m_within_condition
0.658144444444445,0.01,0.32264444444444434,18,0,1,intact,5,top_m_within_condition
0.6630666666666666,0.006666666666666667,0.3703333333333333,18,1,1,intact,5,top_m_within_condition
0.6749888888888889,0.006666666666666667,0.3239333333333334,19,0,1,intact,5,top_m_within_condition
0.6747222222222223,0.02,0.36305555555555546,19,1,1,intact,5,top_m_within_condition
0.7345555555555557,0.02,0.3157555555555555,0,0,2,intact,5,top_m_within_condition
0.7435333333333335,0.02666666666666667,0.3251333333333333,0,1,2,intact,5,top_m_within_condition
0.7716222222222228,0.023333333333333334,0.33014444444444435,1,0,2,intact,5,top_m_within_condition
0.7693888888888888,0.023333333333333334,0.32747777777777726,1,1,2,intact,5,top_m_within_condition
0.7566555555555556,0.02666666666666667,0.32111111111111096,2,0,2,intact,5,top_m_within_condition
0.7497333333333336,0.013333333333333334,0.24435555555555558,2,1,2,intact,5,top_m_within_condition
0.7501555555555558,0.01,0.3115111111111112,3,0,2,intact,5,top_m_within_condition
0.7519333333333337,0.006666666666666667,0.3346999999999999,3,1,2,intact,5,top_m_within_condition
0.7515666666666667,0.016666666666666666,0.2892999999999999,4,0,2,intact,5,top_m_within_condition
0.753144444444445,0.016666666666666666,0.2984444444444442,4,1,2,intact,5,top_m_within_condition
0.7437555555555555,0.023333333333333334,0.30505555555555536,5,0,2,intact,5,top_m_within_condition
0.7426666666666665,0.02,0.27601111111111115,5,1,2,intact,5,top_m_within_condition
0.7653888888888891,0.02,0.2957333333333334,6,0,2,intact,5,top_m_within_condition
0.7729,0.01,0.3044222222222223,6,1,2,intact,5,top_m_within_condition
0.7654333333333334,0.01,0.29133333333333317,7,0,2,intact,5,top_m_within_condition
0.7639777777777775,0.03333333333333333,0.3127444444444444,7,1,2,intact,5,top_m_within_condition
0.7619333333333344,0.02666666666666667,0.30051111111111123,8,0,2,intact,5,top_m_within_condition
0.7676222222222219,0.023333333333333334,0.3117777777777777,8,1,2,intact,5,top_m_within_condition
0.7603555555555557,0.016666666666666666,0.3002444444444445,9,0,2,intact,5,top_m_within_condition
0.7541555555555557,0.013333333333333334,0.31775555555555546,9,1,2,intact,5,top_m_within_condition
0.7450222222222228,0.013333333333333334,0.2770222222222221,10,0,2,intact,5,top_m_within_condition
0.7428333333333335,0.02666666666666667,0.2565999999999998,10,1,2,intact,5,top_m_within_condition
0.7516444444444451,0.02666666666666667,0.29998888888888875,11,0,2,intact,5,top_m_within_condition
0.7593222222222228,0.03666666666666667,0.27328888888888886,11,1,2,intact,5,top_m_within_condition
0.7889444444444443,0.02,0.3203444444444442,12,0,2,intact,5,top_m_within_condition
