rank,accuracy,error,rep,fold,condition,K,reconstruction
0.7948777777777781,0.023333333333333334,0.33922222222222237,0,0,intact,5,all_archetypes
0.7954111111111113,0.03333333333333333,0.3359555555555554,0,1,intact,5,all_archetypes
0.796855555555556,0.023333333333333334,0.3108777777777776,1,0,intact,5,all_archetypes
0.7941999999999999,0.02666666666666667,0.3568222222222218,1,1,intact,5,all_archetypes
0.8096111111111114,0.023333333333333334,0.3335222222222219,2,0,intact,5,all_archetypes
0.8063111111111119,0.013333333333333334,0.3481222222222219,2,1,intact,5,all_archetypes
0.8029999999999995,0.023333333333333334,0.32928888888888846,3,0,intact,5,all_archetypes
0.8072000000000001,0.023333333333333334,0.33916666666666634,3,1,intact,5,all_archetypes
0.8006222222222225,0.013333333333333334,0.3308999999999998,4,0,intact,5,all_archetypes
0.801933333333334,0.02666666666666667,0.3213111111111111,4,1,intact,5,all_archetypes
0.7971444444444444,0.03,0.34921111111111114,5,0,intact,5,all_archetypes
0.7938555555555558,0.02666666666666667,0.3827999999999998,5,1,intact,5,all_archetypes
0.7884444444444447,0.02666666666666667,0.3149666666666667,6,0,intact,5,all_archetypes
0.7918333333333332,0.043333333333333335,0.32551111111111086,6,1,intact,5,all_archetypes
0.8087000000000005,0.03,0.3192222222222221,7,0,intact,5,all_archetypes
0.8104888888888898,0.043333333333333335,0.3282222222222223,7,1,intact,5,all_archetypes
0.8067555555555559,0.04666666666666667,0.30552222222222203,8,0,intact,5,all_archetypes
0.8051888888888894,0.01,0.3283111111111111,8,1,intact,5,all_archetypes
0.7979777777777778,0.023333333333333334,0.30560000000000004,9,0,intact,5,all_archetypes
0.8041222222222217,0.016666666666666666,0.3476777777777776,9,1,intact,5,all_archetypes
0.7909666666666673,0.02,0.3549666666666666,10,0,intact,5,all_archetypes
0.7889777777777782,0.03333333333333333,0.3356444444444446,10,1,intact,5,all_archetypes
0.7828333333333338,0.02,0.31523333333333314,11,0,intact,5,all_archetypes
0.7860666666666674,0.03,0.35941111111111096,11,1,intact,5,all_archetypes
0.8060888888888892,0.03,0.3341111111111108,12,0,intact,5,all_archetypes
0.8031555555555554,0.03,0.3496777777777776,12,1,intact,5,all_archetypes
0.7884333333333338,0.02666666666666667,0.33898888888888834,13,0,intact,5,all_archetypes
0.7852555555555559,0.03,0.33441111111111077,13,1,intact,5,all_archetypes
0.7901,0.03666666666666667,0.3377555555555558,14,0,intact,5,all_archetypes
0.7824000000000004,0.023333333333333334,0.31906666666666644,14,1,intact,5,all_archetypes
0.7731444444444442,0.03333333333333333,0.3178111111111107,15,0,intact,5,all_archetypes
0.7727111111111113,0.016666666666666666,0.36041111111111085,15,1,intact,5,all_archetypes
0.7841333333333337,0.02666666666666667,0.33805555555555533,16,0,intact,5,all_archetypes
0.7909000000000003,0.03333333333333333,0.37457777777777784,16,1,intact,5,all_archetypes
0.7781111111111114,0.016666666666666666,0.3371999999999998,17,0,intact,5,all_archetypes
0.790744444444444,0.03,0.34776666666666645,17,1,intact,5,all_archetypes
0.7649555555555562,0.03,0.33577777777777745,18,0,intact,5,all_archetypes
0.7698000000000002,0.03333333333333333,0.34246666666666653,18,1,intact,5,all_archetypes
0.7880666666666669,0.03666666666666667,0.3301666666666661,19,0,intact,5,all_archetypes
0.7841444444444445,0.023333333333333334,0.30546666666666644,19,1,intact,5,all_archetypes
