condition,K,reconstruction,top_m,mean,std,count,err
intact,5,top_m_within_condition,5,0.027166666666666665,0.008114213199100443,40,0.0012829697564679364
intact,10,top_m_within_condition,5,0.03191666666666666,0.006661857239564796,40,0.0010533321161953371
word,5,top_m_within_condition,5,0.015833333333333335,0.006866658368595103,40,0.001085714017950827
word,10,top_m_within_condition,5,0.026416666666666665,0.00782236912255224,40,0.0012368251562918937
rest,5,top_m_within_condition,2,0.011416666666666667,0.005277890237218406,40,0.0008345077194988276
rest,10,top_m_within_condition,3,0.007916666666666666,0.0050460839234958196,40,0.0007978559231302817
