condition,K,reconstruction,mean,std,count,err
intact,5,all_archetypes,0.027166666666666665,0.008114213199100443,40,0.0012829697564679364
intact,10,all_archetypes,0.05575,0.010567581992763964,40,0.0016708814228857563
rest,5,all_archetypes,0.00625,0.003935918316156089,40,0.0006223233281713972
rest,10,all_archetypes,0.008083333333333335,0.0046463231794957064,40,0.0007346481996220893
word,5,all_archetypes,0.015833333333333335,0.006866658368595103,40,0.001085714017950827
word,10,all_archetypes,0.035333333333333335,0.0071929056533428645,40,0.001137298242963249
