rank,accuracy,error,rep,fold,K,condition,reconstruction
0.8173333333333334,0.05333333333333334,0.239011111111111,0,0,10,intact,all_archetypes
0.8162555555555554,0.043333333333333335,0.2864888888888888,0,1,10,intact,all_archetypes
0.8293777777777784,0.043333333333333335,0.27281111111111106,1,0,10,intact,all_archetypes
0.8312888888888896,0.056666666666666664,0.26538888888888856,1,1,10,intact,all_archetypes
0.8368222222222221,0.03333333333333333,0.2927111111111109,2,0,10,intact,all_archetypes
0.8354444444444444,0.056666666666666664,0.24283333333333293,2,1,10,intact,all_archetypes
0.8521222222222229,0.07333333333333333,0.2432111111111108,3,0,10,intact,all_archetypes
0.8520444444444448,0.06,0.2591222222222222,3,1,10,intact,all_archetypes
0.8420444444444445,0.04,0.2712666666666665,4,0,10,intact,all_archetypes
0.8409888888888891,0.04666666666666667,0.27274444444444423,4,1,10,intact,all_archetypes
0.801177777777778,0.05,0.2460333333333332,5,0,10,intact,all_archetypes
0.7974333333333339,0.023333333333333334,0.28457777777777754,5,1,10,intact,all_archetypes
0.8114888888888893,0.05,0.2716666666666666,6,0,10,intact,all_archetypes
0.8116666666666671,0.03333333333333333,0.2865111111111106,6,1,10,intact,all_archetypes
0.846422222222223,0.06333333333333334,0.26943333333333314,7,0,10,intact,all_archetypes
0.8429666666666669,0.05,0.266188888888889,7,1,10,intact,all_archetypes
0.8316,0.056666666666666664,0.2668222222222218,8,0,10,intact,all_archetypes
0.8290666666666668,0.056666666666666664,0.27312222222222193,8,1,10,intact,all_archetypes
0.8331777777777781,0.06,0.2637888888888887,9,0,10,intact,all_archetypes
0.8379333333333331,0.03333333333333333,0.2844555555555552,9,1,10,intact,all_archetypes
0.8010888888888901,0.03666666666666667,0.3076222222222218,10,0,10,intact,all_archetypes
0.8038888888888891,0.03333333333333333,0.280322222222222,10,1,10,intact,all_archetypes
0.8430111111111114,0.05333333333333334,0.2549666666666664,11,0,10,intact,all_archetypes
0.8436555555555556,0.043333333333333335,0.286622222222222,11,1,10,intact,all_archetypes
0.8321666666666675,0.03666666666666667,0.28734444444444435,12,0,10,intact,all_archetypes
0.8289444444444442,0.05333333333333334,0.25987777777777776,12,1,10,intact,all_archetypes
0.823633333333334,0.043333333333333335,0.29237777777777774,13,0,10,intact,all_archetypes
0.8191666666666668,0.03,0.3125222222222219,13,1,10,intact,all_archetypes
0.8241333333333336,0.06,0.2686999999999997,14,0,10,intact,all_archetypes
0.8186222222222229,0.04666666666666667,0.2718555555555555,14,1,10,intact,all_archetypes
0.8086444444444447,0.06333333333333334,0.2904222222222219,15,0,10,intact,all_archetypes
0.8063333333333331,0.05,0.28128888888888876,15,1,10,intact,all_archetypes
0.8059333333333341,0.04,0.2719444444444443,16,0,10,intact,all_archetypes
0.8162777777777785,0.043333333333333335,0.2681222222222221,16,1,10,intact,all_archetypes
0.8017333333333337,0.04,0.29201111111111083,17,0,10,intact,all_archetypes
0.7994333333333336,0.056666666666666664,0.24832222222222222,17,1,10,intact,all_archetypes
0.8229222222222224,0.05333333333333334,0.25662222222222225,18,0,10,intact,all_archetypes
0.8188555555555562,0.06333333333333334,0.25818888888888847,18,1,10,intact,all_archetypes
0.8128777777777781,0.06666666666666667,0.2853444444444442,19,0,10,intact,all_archetypes
0.8124555555555557,0.04,0.2579999999999998,19,1,10,intact,all_archetypes
0.847055555555556,0.05,0.25875555555555513,20,0,10,intact,all_archetypes
0.8416444444444445,0.07,0.2531999999999998,20,1,10,intact,all_archetypes
0.8228333333333331,0.04666666666666667,0.2780888888888888,21,0,10,intact,all_archetypes
0.8233,0.056666666666666664,0.2651888888888887,21,1,10,intact,all_archetypes
0.8521333333333332,0.043333333333333335,0.2730999999999996,22,0,10,intact,all_archetypes
0.8457333333333332,0.04,0.2708777777777777,22,1,10,intact,all_archetypes
