rank,accuracy,error,rep,fold,top_m,K,condition,reconstruction
0.6518333333333336,0.006666666666666667,0.32785555555555546,0,0,1,10,intact,top_m_global
0.6504555555555558,0.0033333333333333335,0.3567999999999998,0,1,1,10,intact,top_m_global
0.6872111111111114,0.006666666666666667,0.30905555555555564,1,0,1,10,intact,top_m_global
0.690177777777778,0.006666666666666667,0.3474888888888889,1,1,1,10,intact,top_m_global
0.6619111111111118,0.006666666666666667,0.31348888888888893,2,0,1,10,intact,top_m_global
0.6493777777777775,0.013333333333333334,0.3471666666666666,2,1,1,10,intact,top_m_global
0.6949444444444443,0.01,0.3200444444444445,3,0,1,10,intact,top_m_global
0.6839777777777777,0.006666666666666667,0.46098888888888906,3,1,1,10,intact,top_m_global
0.6824888888888895,0.01,0.3449555555555554,4,0,1,10,intact,top_m_global
0.6891666666666667,0.006666666666666667,0.38946666666666635,4,1,1,10,intact,top_m_global
0.684588888888889,0.006666666666666667,0.34428888888888887,5,0,1,10,intact,top_m_global
0.6739777777777779,0.006666666666666667,0.30616666666666653,5,1,1,10,intact,top_m_global
0.6646888888888887,0.006666666666666667,0.34023333333333333,6,0,1,10,intact,top_m_global
0.6709666666666664,0.016666666666666666,0.3110444444444445,6,1,1,10,intact,top_m_global
0.6915555555555554,0.006666666666666667,0.33543333333333325,7,0,1,10,intact,top_m_global
0.6959555555555551,0.016666666666666666,0.3099333333333333,7,1,1,10,intact,top_m_global
0.6695111111111113,0.016666666666666666,0.31172222222222223,8,0,1,10,intact,top_m_global
0.6861444444444449,0.013333333333333334,0.32079999999999986,8,1,1,10,intact,top_m_global
0.6702222222222226,0.0033333333333333335,0.29937777777777763,9,0,1,10,intact,top_m_global
0.6719555555555549,0.013333333333333334,0.37067777777777766,9,1,1,10,intact,top_m_global
0.6928111111111113,0.006666666666666667,0.3187333333333333,10,0,1,10,intact,top_m_global
0.6971666666666662,0.006666666666666667,0.38022222222222213,10,1,1,10,intact,top_m_global
0.6652222222222225,0.006666666666666667,0.34443333333333337,11,0,1,10,intact,top_m_global
0.6730111111111114,0.01,0.3156222222222219,11,1,1,10,intact,top_m_global
0.6678555555555558,0.006666666666666667,0.3201444444444444,12,0,1,10,intact,top_m_global
0.6641777777777782,0.013333333333333334,0.35013333333333313,12,1,1,10,intact,top_m_global
0.6878888888888883,0.006666666666666667,0.32139999999999974,13,0,1,10,intact,top_m_global
0.6809111111111111,0.0033333333333333335,0.37815555555555574,13,1,1,10,intact,top_m_global
0.6785222222222225,0.013333333333333334,0.31453333333333344,14,0,1,10,intact,top_m_global
0.6753111111111108,0.0033333333333333335,0.37013333333333326,14,1,1,10,intact,top_m_global
0.6702000000000002,0.006666666666666667,0.3685666666666667,15,0,1,10,intact,top_m_global
0.6652333333333331,0.006666666666666667,0.32740000000000014,15,1,1,10,intact,top_m_global
0.6683111111111106,0.006666666666666667,0.36474444444444437,16,0,1,10,intact,top_m_global
0.6716444444444442,0.013333333333333334,0.29227777777777764,16,1,1,10,intact,top_m_global
0.6807888888888891,0.006666666666666667,0.3412777777777776,17,0,1,10,intact,top_m_global
0.6765888888888892,0.01,0.3635444444444444,17,1,1,10,intact,top_m_global
0.6729222222222223,0.01,0.38038888888888883,18,0,1,10,intact,top_m_global
0.6667777777777779,0.006666666666666667,0.30348888888888864,18,1,1,10,intact,top_m_global
0.6744333333333332,0.01,0.30495555555555554,19,0,1,10,intact,top_m_global
0.6614222222222225,0.01,0.3755777777777776,19,1,1,10,intact,top_m_global
0.6714555555555558,0.0033333333333333335,0.35544444444444445,20,0,1,10,intact,top_m_global
0.684422222222222,0.006666666666666667,0.374333333333333,20,1,1,10,intact,top_m_global
0.6648555555555558,0.013333333333333334,0.3472111111111113,21,0,1,10,intact,top_m_global
0.6543888888888886,0.006666666666666667,0.34644444444444444,21,1,1,10,intact,top_m_global
0.6744333333333332,0.01,0.3331333333333331,22,0,1,10,intact,top_m_global
0.668611111111111,0.013333333333333334,0.2956555555555555,22,1,1,10,intact,top_m_global
0.676611111111111,0.006666666666666667,0.4100444444444444,23,0,1,10,intact,top_m_global
0.6728444444444444,0.006666666666666667,0.2993,23,1,1,10,intact,top_m_global
0.6909111111111109,0.006666666666666667,0.3492222222222221,24,0,1,10,intact,top_m_global
0.6859777777777775,0.006666666666666667,0.3129555555555553,24,1,1,10,intact,top_m_global
0.6587666666666671,0.006666666666666667,0.34012222222222244,25,0,1,10,intact,top_m_global
0.6550111111111111,0.01,0.3276444444444445,25,1,1,10,intact,top_m_global
0.6809555555555558,0.0033333333333333335,0.29764444444444466,26,0,1,10,intact,top_m_global
0.6837333333333335,0.01,0.3565111111111111,26,1,1,10,intact,top_m_global
0.6853444444444446,0.006666666666666667,0.3191555555555555,27,0,1,10,intact,top_m_global
0.6928777777777775,0.006666666666666667,0.30394444444444435,27,1,1,10,intact,top_m_global
0.6659444444444441,0.01,0.38026666666666664,28,0,1,10,intact,top_m_global
0.669266666666667,0.006666666666666667,0.29131111111111113,28,1,1,10,intact,top_m_global
0.6918888888888891,0.01,0.306611111111111,29,0,1,10,intact,top_m_global
0.6861444444444442,0.006666666666666667,0.30616666666666675,29,1,1,10,intact,top_m_global
0.6813555555555558,0.006666666666666667,0.33553333333333324,30,0,1,10,intact,top_m_global
0.674488888888889,0.006666666666666667,0.30613333333333315,30,1,1,10,intact,top_m_global
0.6858111111111111,0.006666666666666667,0.3280555555555555,31,0,1,10,intact,top_m_global
0.6989999999999997,0.006666666666666667,0.3903333333333335,31,1,1,10,intact,top_m_global
0.6840222222222222,0.01,0.311733333333333,32,0,1,10,intact,top_m_global
0.6808444444444448,0.01,0.3446222222222223,32,1,1,10,intact,top_m_global
0.6740777777777776,0.01,0.3885,33,0,1,10,intact,top_m_global
0.6853888888888885,0.016666666666666666,0.28459999999999996,33,1,1,10,intact,top_m_global
0.6788111111111111,0.0033333333333333335,0.3161333333333334,34,0,1,10,intact,top_m_global
0.6711555555555552,0.013333333333333334,0.3950333333333331,34,1,1,10,intact,top_m_global
0.6902666666666665,0.006666666666666667,0.3206888888888889,35,0,1,10,intact,top_m_global
0.6847222222222226,0.006666666666666667,0.29572222222222216,35,1,1,10,intact,top_m_global
0.6622999999999993,0.006666666666666667,0.3383333333333335,36,0,1,10,intact,top_m_global
0.6862222222222223,0.0033333333333333335,0.3526222222222222,36,1,1,10,intact,top_m_global
0.6760222222222223,0.02,0.35346666666666654,37,0,1,10,intact,top_m_global
0.6744333333333333,0.01,0.28423333333333306,37,1,1,10,intact,top_m_global
0.6557555555555559,0.01,0.3430333333333332,38,0,1,10,intact,top_m_global
0.6387000000000004,0.016666666666666666,0.31468888888888885,38,1,1,10,intact,top_m_global
0.6741888888888891,0.006666666666666667,0.3997222222222223,39,0,1,10,intact,top_m_global
0.6774555555555561,0.01,0.2969555555555555,39,1,1,10,intact,top_m_global
0.671855555555556,0.006666666666666667,0.3270111111111109,40,0,1,10,intact,top_m_global
0.6791444444444447,0.013333333333333334,0.3547666666666666,40,1,1,10,intact,top_m_global
0.6742222222222218,0.006666666666666667,0.3249666666666666,41,0,1,10,intact,top_m_global
0.672288888888889,0.013333333333333334,0.3643333333333332,41,1,1,10,intact,top_m_global
0.6735999999999999,0.006666666666666667,0.33687777777777766,42,0,1,10,intact,top_m_global
0.6976000000000004,0.01,0.38783333333333336,42,1,1,10,intact,top_m_global
0.6918000000000003,0.0033333333333333335,0.33752222222222167,43,0,1,10,intact,top_m_global
