K,archetype,decode_accuracy
5,1,0.01025
5,2,0.010166666666666668
5,0,0.00925
5,3,0.00825
5,4,0.005166666666666667
10,2,0.010333333333333333
10,3,0.010083333333333333
10,0,0.008416666666666666
10,4,0.00825
10,1,0.008166666666666666
