K,archetype,best_n_clusters,purity,balance,cluster_score,ari,nmi,cluster_sizes,decode_accuracy_overall,decode_intact,decode_intact_sem,decode_rest,decode_rest_sem,decode_word,decode_word_sem,cluster_rank,decode_rank,joint_rank_score
5,1,2,0.6111111111111112,1.0,0.16137845091894631,0.31658682867936283,0.3279164701672274,"[54, 54]",0.007111111111111111,0.007000000000000001,0.00044337478117411754,0.0069166666666666664,0.0006579288490181673,0.007416666666666667,0.0005532537786493135,1.0,2.0,-3.0
10,2,2,0.5833333333333334,0.9907407407407407,0.13905781665984804,0.26007184556124885,0.26178482325026525,"[53, 55]",0.006750000000000001,0.007916666666666667,0.0005019548679499876,0.004,0.0005748776656683841,0.008333333333333335,0.0005967623950328606,4.0,2.0,-6.0
25,2,3,0.8518518518518519,0.9907407407407407,0.3535831906080021,0.6049368655789741,0.5653354269344861,"[35, 37, 36]",0.006527777777777777,0.008916666666666666,0.0006470126398497606,0.00375,0.0005493780477196366,0.0069166666666666664,0.0003846687997096794,1.0,3.0,-4.0
50,4,3,0.9166666666666666,0.9444444444444444,0.42000078899670984,0.7603039575982079,0.7204750666382056,"[42, 34, 32]",0.006277777777777777,0.007666666666666667,0.0003811812499312437,0.00375,0.0005228060929505419,0.007416666666666667,0.0004697016692749323,1.0,5.0,-6.0
75,7,3,0.9259259259259259,0.9537037037037037,0.43710077387567675,0.7894788907330264,0.7483319875069093,"[31, 40, 37]",0.007611111111111109,0.009833333333333335,0.0008001958449738353,0.00425,0.0005467789649092551,0.00875,0.0005159493228057419,1.0,2.0,-3.0
100,9,3,0.9074074074074074,0.9351851851851852,0.4034074845449048,0.7360226313307968,0.700522896499978,"[29, 41, 38]",0.00636111111111111,0.008,0.0004891995904702285,0.0034166666666666672,0.0004542847607774707,0.007666666666666667,0.0006449452813645634,1.0,5.0,-6.0
