condition,K,reconstruction,top_m,mean,std,count,err
intact,5,top_m_across_condition_ranked,5,0.029833333333333333,0.008403974097222136,40,0.0013287849772139642
intact,10,top_m_across_condition_ranked,5,0.03675,0.008285761652005575,40,0.0013100939484808538
word,5,top_m_across_condition_ranked,5,0.0205,0.0065175633850874425,40,0.001030517254569671
word,10,top_m_across_condition_ranked,5,0.024416666666666666,0.0077123314879520705,40,0.0012194266786081994
rest,5,top_m_across_condition_ranked,1,0.005833333333333334,0.0036786904643858706,40,0.000581652033710094
rest,10,top_m_across_condition_ranked,4,0.009166666666666667,0.004319834332583677,40,0.000683025780277887
