condition,K,reconstruction,mean,std,count,err
intact,5,all_archetypes,0.029833333333333333,0.008403974097222136,40,0.0013287849772139642
intact,10,all_archetypes,0.057583333333333334,0.010567581992763964,40,0.0016708814228857563
rest,5,all_archetypes,0.004916666666666667,0.0033747427885527648,40,0.0005335936864527374
rest,10,all_archetypes,0.009583333333333334,0.004844446404767108,40,0.0007659742320839024
word,5,all_archetypes,0.0205,0.0065175633850874425,40,0.001030517254569671
word,10,all_archetypes,0.029333333333333333,0.007287346094801118,40,0.0011522305878752426
