condition,K,reconstruction,mean,std,count,err
intact,5,all_archetypes,0.034333333333333334,0.009127148695230255,40,0.0014431289209980802
intact,10,all_archetypes,0.04833333333333333,0.01137298242963249,40,0.001798226413335716
rest,5,all_archetypes,0.005083333333333334,0.003619156061610303,40,0.0005722388181146617
rest,10,all_archetypes,0.006,0.00393682302098729,40,0.0006224663745652349
word,5,all_archetypes,0.016833333333333332,0.0050608828886406386,40,0.0008001958449738353
word,10,all_archetypes,0.03216666666666666,0.01071649685500373,40,0.0016944269299921494
