analysis_type,fit_scope,condition,K,top_m,selected_archetypes,mean,err,std,count,rank_mean,error_mean,fit_source_file,fit_source_basename
spatial,across,intact,100,2,"[8, 12]",0.0143333333333333,0.000747264717757,0.0047261170463904,40,0.7049847222222223,0.3276344444444444,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K100.npz,spatialAA_across_acrossCond_K100.npz
spatial,across,intact,100,3,"[8, 12, 4]",0.0243333333333333,0.0011887411043223,0.0075182588758446,40,0.7543158333333334,0.2981072222222221,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K100.npz,spatialAA_across_acrossCond_K100.npz
spatial,across,intact,100,5,"[8, 12, 4, 9, 10]",0.048,0.0017287579323329,0.0109336251785105,40,0.8346572222222226,0.3096136111111109,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K100.npz,spatialAA_across_acrossCond_K100.npz
spatial,across,intact,100,10,"[8, 12, 4, 9, 10, 21, 59, 14, 15, 27]",0.06875,0.0018127732135175,0.0114649844721163,40,0.8603869444444449,0.2753411111111108,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K100.npz,spatialAA_across_acrossCond_K100.npz
spatial,across,intact,300,1,[28],0.009916666666666667,0.0007594373010624473,0.00480310322289669,40,0.6843344444444446,0.3537269444444444,,
spatial,across,intact,300,2,"[28, 25]",0.015333333333333334,0.0007988595860203708,0.0050524316449671565,40,0.7278397222222224,0.3749052777777776,,
spatial,across,intact,300,3,"[28, 25, 26]",0.01625,0.0008455303971009275,0.005347603771491124,40,0.7354933333333336,0.3666463888888888,,
spatial,across,intact,300,5,"[28, 25, 26, 31, 32]",0.020916666666666667,0.0012798431839481646,0.008094439018236102,40,0.7578619444444445,0.3560311111111111,,
spatial,across,intact,300,10,"[28, 25, 26, 31, 32, 30, 24, 36, 50, 29]",0.05575,0.0017500000000000003,0.01106797181058933,40,0.8343858333333337,0.2839108333333332,,
spatial,across,intact,500,1,[40],0.009,0.000828619144486589,0.00524064761879555,40,0.672896388888889,0.3470824999999999,,
spatial,across,intact,500,2,"[40, 42]",0.017249999999999998,0.0011061051762688125,0.006995623377422947,40,0.751996388888889,0.3277666666666666,,
spatial,across,intact,500,3,"[40, 42, 38]",0.02275,0.0012339424460297813,0.007804137262027008,40,0.7672283333333334,0.3243058333333333,,
spatial,across,intact,500,5,"[40, 42, 38, 50, 107]",0.04558333333333333,0.0012820673075921486,0.008108505611261748,40,0.8227244444444446,0.2971213888888887,,
spatial,across,intact,500,10,"[40, 42, 38, 50, 107, 99, 53, 77, 87, 58]",0.065,0.0019971489650509266,0.012631079112417891,40,0.8375519444444446,0.2738152777777776,,
spatial,across,intact,700,1,[53],0.005833333333333334,0.0005692750425533111,0.0036004114991154785,40,0.6408236111111111,0.33783055555555547,,
spatial,across,intact,700,2,"[53, 81]",0.012416666666666668,0.0008687966921597321,0.0054947527416898114,40,0.6741016666666667,0.35563055555555545,,
spatial,across,intact,700,3,"[53, 81, 147]",0.026333333333333337,0.0010925805204799295,0.006910085943697643,40,0.7384213888888891,0.32934499999999983,,
spatial,across,intact,700,5,"[53, 81, 147, 95, 59]",0.037333333333333336,0.0017508646622532151,0.011073440414843195,40,0.7637841666666668,0.2976486111111109,,
spatial,across,intact,700,10,"[53, 81, 147, 95, 59, 44, 110, 178, 145, 51]",0.07491666666666667,0.0017377470924346146,0.010990477618857075,40,0.826273055555556,0.2818586111111109,,
spatial,across,rest,5,1,[2],0.0065833333333333,0.0008224719532969,0.005201769368052,40,0.5541816666666667,0.3444872222222222,,
spatial,across,rest,5,2,"[2, 1]",0.0059166666666666,0.0007109992566943,0.0044967541316818,40,0.5472452777777779,0.3443772222222222,,
spatial,across,rest,5,3,"[2, 1, 3]",0.005,0.000620173672946,0.0039223227027636,40,0.5269580555555555,0.3401930555555555,,
spatial,across,rest,5,5,"[2, 1, 3, 0, 4]",0.0050833333333333,0.0005722388181146,0.0036191560616103,40,0.5168838888888889,0.3501905555555555,,
spatial,across,rest,5,10,"[2, 1, 3, 0, 4]",0.0050833333333333,0.0005722388181146,0.0036191560616103,40,0.5168838888888889,0.3501905555555555,,
spatial,across,rest,10,1,[4],0.0058333333333333,0.0005168113941217,0.003268602252303,40,0.5083641666666667,0.3848319444444444,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K10.npz,spatialAA_across_acrossCond_K10.npz
spatial,across,rest,10,2,"[4, 2]",0.0080833333333333,0.0005583795745617,0.0035315025090618,40,0.515868611111111,0.3638105555555554,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K10.npz,spatialAA_across_acrossCond_K10.npz
spatial,across,rest,10,3,"[4, 2, 3]",0.0065833333333333,0.0007779685358258,0.004920305042312,40,0.5397205555555555,0.3358038888888888,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K10.npz,spatialAA_across_acrossCond_K10.npz
spatial,across,rest,10,5,"[4, 2, 3, 5, 0]",0.0059166666666666,0.0006481125346341,0.0040990235790971,40,0.5408736111111111,0.3366380555555555,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K10.npz,spatialAA_across_acrossCond_K10.npz
spatial,across,rest,10,10,"[4, 2, 3, 5, 0, 6, 1, 7, 9, 8]",0.006,0.0006224663745652,0.0039368230209872,40,0.5262416666666667,0.3430138888888889,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K10.npz,spatialAA_across_acrossCond_K10.npz
spatial,across,rest,25,1,[6],0.0064166666666666,0.0005389065112987,0.0034083440431988,40,0.5305613888888889,0.3720138888888888,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K25.npz,spatialAA_across_acrossCond_K25.npz
spatial,across,rest,25,2,"[6, 5]",0.007,0.000557262335477,0.0035244364686645,40,0.5375227777777779,0.33946,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K25.npz,spatialAA_across_acrossCond_K25.npz
spatial,across,rest,25,3,"[6, 5, 2]",0.0079166666666666,0.0007029394935724,0.0044457797139486,40,0.5414163888888888,0.3258652777777778,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K25.npz,spatialAA_across_acrossCond_K25.npz
spatial,across,rest,25,5,"[6, 5, 2, 4, 3]",0.0070833333333333,0.0006223233281713,0.003935918316156,40,0.54234,0.3371822222222222,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K25.npz,spatialAA_across_acrossCond_K25.npz
spatial,across,rest,25,10,"[6, 5, 2, 4, 3, 10, 16, 1, 8, 9]",0.0064166666666666,0.000613098942578,0.0038775781791747,40,0.5334033333333333,0.3425405555555555,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K25.npz,spatialAA_across_acrossCond_K25.npz
spatial,across,rest,50,1,[9],0.0061666666666666,0.0006032910690206,0.0038155477402863,40,0.5129397222222222,0.3690691666666666,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K50.npz,spatialAA_across_acrossCond_K50.npz
spatial,across,rest,50,2,"[9, 6]",0.0065,0.0006195991719677,0.0039186892395449,40,0.5418130555555555,0.3613105555555555,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K50.npz,spatialAA_across_acrossCond_K50.npz
spatial,across,rest,50,3,"[9, 6, 10]",0.0064166666666666,0.0006013695196343,0.003803394794892,40,0.5463083333333334,0.3555630555555555,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K50.npz,spatialAA_across_acrossCond_K50.npz
spatial,across,rest,50,5,"[9, 6, 10, 8, 4]",0.0063333333333333,0.0006730463973541,0.0042567191732199,40,0.5566619444444445,0.3340547222222222,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K50.npz,spatialAA_across_acrossCond_K50.npz
spatial,across,rest,50,10,"[9, 6, 10, 8, 4, 13, 11, 24, 12, 14]",0.0071666666666666,0.0006913177474361,0.0043722773375906,40,0.5356719444444444,0.326498611111111,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K50.npz,spatialAA_across_acrossCond_K50.npz
spatial,across,rest,75,1,[6],0.006,0.0006666666666666,0.0042163702135578,40,0.5312430555555556,0.3405652777777777,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K75.npz,spatialAA_across_acrossCond_K75.npz
spatial,across,rest,75,2,"[6, 7]",0.0034166666666666,0.0004697016692749,0.0029706541913838,40,0.528293888888889,0.3501513888888888,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K75.npz,spatialAA_across_acrossCond_K75.npz
spatial,across,rest,75,3,"[6, 7, 9]",0.0059166666666666,0.0006257474163429,0.0039575741512185,40,0.5250630555555557,0.3525186111111111,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K75.npz,spatialAA_across_acrossCond_K75.npz
spatial,across,rest,75,5,"[6, 7, 9, 13, 0]",0.0066666666666666,0.0006856277926728,0.0043362909039199,40,0.5258730555555556,0.3442402777777778,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K75.npz,spatialAA_across_acrossCond_K75.npz
spatial,across,rest,75,10,"[6, 7, 9, 13, 0, 11, 12, 14, 40, 8]",0.008,0.0006405126152203,0.0040509574683346,40,0.5530677777777778,0.3453877777777777,msaa_flexible_outputs_npz/spatialAA_across_acrossCond_K75.npz,spatialAA_across_acrossCond_K75.npz
