rank,accuracy,error,rep,fold,condition,K,reconstruction
0.7857111111111114,0.023333333333333334,0.287844444444444,0,0,intact,5,all_archetypes
0.7852222222222225,0.03333333333333333,0.29091111111111106,0,1,intact,5,all_archetypes
0.8017888888888898,0.03333333333333333,0.30943333333333317,1,0,intact,5,all_archetypes
0.8042222222222222,0.04666666666666667,0.27571111111111096,1,1,intact,5,all_archetypes
0.7935777777777784,0.02,0.3035555555555557,2,0,intact,5,all_archetypes
0.7914111111111115,0.03,0.3065777777777776,2,1,intact,5,all_archetypes
0.826233333333333,0.03666666666666667,0.26323333333333304,3,0,intact,5,all_archetypes
0.8217444444444447,0.03,0.27396666666666664,3,1,intact,5,all_archetypes
0.820955555555556,0.04,0.27019999999999994,4,0,intact,5,all_archetypes
0.8181000000000004,0.02666666666666667,0.28175555555555565,4,1,intact,5,all_archetypes
0.7704333333333335,0.013333333333333334,0.28889999999999966,5,0,intact,5,all_archetypes
0.7672222222222224,0.023333333333333334,0.3367999999999998,5,1,intact,5,all_archetypes
0.7738444444444452,0.04,0.2731777777777776,6,0,intact,5,all_archetypes
0.7772666666666668,0.03,0.29199999999999987,6,1,intact,5,all_archetypes
0.8162000000000006,0.043333333333333335,0.2743555555555556,7,0,intact,5,all_archetypes
0.8120111111111115,0.05333333333333334,0.27865555555555543,7,1,intact,5,all_archetypes
0.8086444444444449,0.04,0.26558888888888865,8,0,intact,5,all_archetypes
0.8046333333333338,0.04,0.2769888888888887,8,1,intact,5,all_archetypes
0.8057666666666667,0.04,0.30115555555555507,9,0,intact,5,all_archetypes
0.8035222222222228,0.023333333333333334,0.3152666666666666,9,1,intact,5,all_archetypes
0.7812333333333338,0.03666666666666667,0.32547777777777753,10,0,intact,5,all_archetypes
0.7894111111111113,0.023333333333333334,0.29324444444444403,10,1,intact,5,all_archetypes
0.8004333333333337,0.03,0.2796444444444444,11,0,intact,5,all_archetypes
0.7996333333333335,0.03,0.3038777777777774,11,1,intact,5,all_archetypes
0.7932333333333342,0.03333333333333333,0.285122222222222,12,0,intact,5,all_archetypes
0.7982888888888897,0.03333333333333333,0.31733333333333325,12,1,intact,5,all_archetypes
0.7926333333333334,0.05,0.30886666666666646,13,0,intact,5,all_archetypes
0.7878999999999994,0.023333333333333334,0.2904666666666667,13,1,intact,5,all_archetypes
0.8059888888888894,0.043333333333333335,0.2821777777777775,14,0,intact,5,all_archetypes
0.8031555555555561,0.02666666666666667,0.27601111111111093,14,1,intact,5,all_archetypes
0.7853666666666673,0.03666666666666667,0.2842000000000002,15,0,intact,5,all_archetypes
0.7817777777777782,0.03333333333333333,0.28919999999999957,15,1,intact,5,all_archetypes
0.7854555555555558,0.02666666666666667,0.2948333333333332,16,0,intact,5,all_archetypes
0.7960111111111109,0.04666666666666667,0.2746888888888886,16,1,intact,5,all_archetypes
0.7787000000000001,0.04,0.301122222222222,17,0,intact,5,all_archetypes
0.7718222222222224,0.03,0.27366666666666667,17,1,intact,5,all_archetypes
0.7970111111111114,0.03666666666666667,0.2824888888888887,18,0,intact,5,all_archetypes
0.8005444444444442,0.05,0.25604444444444413,18,1,intact,5,all_archetypes
0.773177777777778,0.04666666666666667,0.30489999999999995,19,0,intact,5,all_archetypes
