condition,K,reconstruction,top_m,mean,std,count,err
intact,5,top_m_across_condition_ranked,5,0.034333333333333334,0.009127148695230255,40,0.0014431289209980802
intact,10,top_m_across_condition_ranked,5,0.03716666666666667,0.009534761712370212,40,0.001507578197902856
word,5,top_m_across_condition_ranked,4,0.020166666666666666,0.007277565730583474,40,0.0011506841765115544
word,10,top_m_across_condition_ranked,5,0.023083333333333334,0.007449258553134868,40,0.0011778311953698308
rest,5,top_m_across_condition_ranked,1,0.0069166666666666664,0.00416110740246089,40,0.0006579288490181673
rest,10,top_m_across_condition_ranked,4,0.005333333333333334,0.004189255011318545,40,0.0006623793767520533
